read_id	length_bp	truth_positive	strand	negative_kind
r0000001	5000	0	+	random
r0000002	5001	1	+	NA
r0000003	5003	1	+	NA
r0000004	5000	0	-	random
r0000005	5001	1	+	NA
r0000006	5000	1	+	NA
r0000007	5002	1	-	NA
r0000008	5005	1	-	NA
r0000009	4999	1	-	NA
r0000010	5000	0	+	random
r0000011	5000	1	-	NA
r0000012	5000	0	+	random
r0000013	5003	1	+	NA
r0000014	5000	0	+	random
r0000015	5000	1	-	NA
r0000016	5000	0	+	random
r0000017	5004	1	+	NA
r0000018	4998	1	-	NA
r0000019	5001	1	-	NA
r0000020	5002	1	-	NA
r0000021	5000	0	-	random
r0000022	5000	0	+	random
r0000023	5000	0	-	random
r0000024	5004	1	+	NA
r0000025	5000	1	-	NA
r0000026	5004	1	-	NA
r0000027	5002	1	-	NA
r0000028	5002	1	-	NA
r0000029	5000	0	+	random
r0000030	5002	1	+	NA
r0000031	4997	1	-	NA
r0000032	5000	1	-	NA
r0000033	5000	0	-	random
r0000034	4999	1	-	NA
r0000035	5000	0	-	random
r0000036	5001	1	+	NA
r0000037	5002	1	-	NA
r0000038	5000	1	+	NA
r0000039	4998	1	-	NA
r0000040	5000	0	+	random
r0000041	4999	1	-	NA
r0000042	5002	1	+	NA
r0000043	5001	1	-	NA
r0000044	5000	1	-	NA
r0000045	4998	1	-	NA
r0000046	5000	1	-	NA
r0000047	5001	1	+	NA
r0000048	5002	1	+	NA
r0000049	4996	1	+	NA
r0000050	4998	1	+	NA
r0000051	4999	1	-	NA
r0000052	5000	0	+	random
r0000053	5002	1	+	NA
r0000054	4998	1	-	NA
r0000055	4999	1	+	NA
r0000056	5000	0	-	random
r0000057	4998	1	-	NA
r0000058	4999	1	-	NA
r0000059	4998	1	+	NA
r0000060	5000	0	+	random
r0000061	4998	1	-	NA
r0000062	5000	1	-	NA
r0000063	5001	1	-	NA
r0000064	5001	1	+	NA
r0000065	5000	0	-	random
r0000066	4998	1	-	NA
r0000067	5000	0	+	random
r0000068	5001	1	-	NA
r0000069	4996	1	+	NA
r0000070	4999	1	-	NA
r0000071	4998	1	+	NA
r0000072	5002	1	+	NA
r0000073	5003	1	+	NA
r0000074	4998	1	+	NA
r0000075	5000	0	+	random
r0000076	5000	0	-	random
r0000077	5000	1	+	NA
r0000078	5000	0	+	random
r0000079	4997	1	+	NA
r0000080	4999	1	+	NA
r0000081	4996	1	+	NA
r0000082	4999	1	+	NA
r0000083	5000	0	-	random
r0000084	5000	0	+	random
r0000085	5000	0	-	random
r0000086	5000	1	+	NA
r0000087	4999	1	+	NA
r0000088	5000	0	+	random
r0000089	5001	1	-	NA
r0000090	5000	0	-	random
r0000091	5001	1	-	NA
r0000092	5000	0	-	random
r0000093	5003	1	-	NA
r0000094	4997	1	-	NA
r0000095	4998	1	+	NA
r0000096	5000	0	+	random
r0000097	5002	1	-	NA
r0000098	4996	1	+	NA
r0000099	5000	0	-	random
r0000100	5000	0	-	random
