family_id	old_assembly_bp	new_assembly_bp	old_new_ratio	reference_state_binary	any_alignment_bp	any_alignment_fraction	primary_alignment_bp	primary_alignment_fraction	same_chromosome_primary_alignment_bp	same_chromosome_primary_alignment_fraction	same_chromosome_primary_mapq20_alignment_bp	same_chromosome_primary_mapq20_alignment_fraction
TXF000012	36044	34438	1.0466345316220453	other_reference_state	28129	0.8168012079679424	28128	0.8167721702770195	0	0.0	0	0.0
TXF000047	41126	43419	0.9471890186323959	other_reference_state	38278	0.8815956148230037	38134	0.878279094405675	0	0.0	0	0.0
TXF000058	17928	16661	1.076045855590901	other_reference_state	16659	0.9998799591861233	16659	0.9998799591861233	0	0.0	0	0.0
TXF000075	26223	25039	1.0472862334757778	other_reference_state	23946	0.9563480969687288	23946	0.9563480969687288	0	0.0	0	0.0
TXF000077	16041	16442	0.9756112395085756	other_reference_state	13675	0.8317114706240116	13675	0.8317114706240116	0	0.0	0	0.0
TXF000084	102232	101138	1.0108169036366152	other_reference_state	81471	0.8055429215527299	81470	0.8055330340722577	0	0.0	0	0.0
TXF000146	25926	24732	1.0482775351770985	other_reference_state	19099	0.7722383956008411	19099	0.7722383956008411	0	0.0	0	0.0
TXF000209	18136	16353	1.1090319818993457	other_reference_state	14182	0.8672414847428607	14182	0.8672414847428607	0	0.0	0	0.0
TXF000217	19189	18687	1.0268635950125755	other_reference_state	18077	0.9673569861400974	18077	0.9673569861400974	0	0.0	0	0.0
TXF000220	16071	16052	1.0011836531273361	other_reference_state	14283	0.889795664091702	14283	0.889795664091702	0	0.0	0	0.0
TXF000230	18069	17031	1.060947683635723	other_reference_state	15997	0.9392871821971699	15997	0.9392871821971699	0	0.0	0	0.0
TXF000246	33689	32370	1.0407476058078469	other_reference_state	30271	0.9351560086499846	30105	0.9300278035217794	0	0.0	0	0.0
TXF000264	19389	18534	1.0461314341210748	other_reference_state	13669	0.737509442106399	13669	0.737509442106399	0	0.0	0	0.0
TXF000304	45125	42800	1.0543224299065421	other_reference_state	40350	0.9427570093457944	40350	0.9427570093457944	0	0.0	0	0.0
TXF000327	20206	18596	1.0865777586577758	other_reference_state	14045	0.7552699505269951	14045	0.7552699505269951	0	0.0	0	0.0
TXF000359	45372	51748	0.8767875086959882	other_reference_state	17842	0.3447862719332148	17842	0.3447862719332148	0	0.0	0	0.0
TXF000439	60681	67946	0.8930768551496777	other_reference_state	47677	0.7016895770170429	46971	0.6912989727136255	0	0.0	0	0.0
TXF000495	27159	31226	0.8697559725869468	other_reference_state	24804	0.794338051623647	24804	0.794338051623647	0	0.0	0	0.0
TXF000496	27666	55562	0.4979302400921493	reference_collapse	40238	0.7241999928008351	40102	0.7217522767358986	0	0.0	0	0.0
TXF000563	18027	15537	1.1602625989573276	other_reference_state	14360	0.9242453498101306	14360	0.9242453498101306	0	0.0	0	0.0
TXF000579	16087	16236	0.9908228627740823	other_reference_state	12891	0.7939763488543976	12891	0.7939763488543976	0	0.0	0	0.0
TXF000580	22905	25130	0.9114604058893753	other_reference_state	20151	0.8018702745722245	20151	0.8018702745722245	0	0.0	0	0.0
TXF000642	22238	21544	1.0322131451912366	other_reference_state	20028	0.9296323802450799	20028	0.9296323802450799	0	0.0	0	0.0
TXF000653	39397	63658	0.6188852932859971	other_reference_state	43598	0.6848785698576769	43190	0.6784693204310535	0	0.0	0	0.0
