"seqID","arrayID","start","end","strand","score","eval","width","class","score_template"
"chr_sim",1,139260,139287,"-",62.2950819672131,-1,28,"61_50",-1
"chr_sim",1,139288,139348,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,139349,139409,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,139410,139470,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,139471,139531,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,139532,139592,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,139593,139653,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,139654,139714,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,139715,139775,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,139776,139836,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,139837,139897,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,139898,139958,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,139959,140019,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,140020,140080,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,140081,140141,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,140142,140202,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,140203,140263,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,140264,140324,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,140325,140385,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,140386,140446,"-",0,2.4e-09,61,"61_50",-1
"chr_sim",1,140447,140483,"-",39.344262295082,-1,37,"61_50",-1
"chr_sim",2,279747,279808,"-",54.0983606557377,-1,62,"61_53",-1
"chr_sim",2,279809,279869,"-",1.63934426229508,2.6e-10,61,"61_53",-1
"chr_sim",2,279870,279930,"-",0,1.3e-10,61,"61_53",-1
"chr_sim",2,279931,279991,"-",0,1.3e-10,61,"61_53",-1
"chr_sim",2,279992,280052,"-",0,1.3e-10,61,"61_53",-1
"chr_sim",2,280053,280113,"-",1.63934426229508,-1,61,"61_53",-1
"chr_sim",2,280114,280174,"-",3.27868852459016,-1,61,"61_53",-1
"chr_sim",2,280175,280235,"-",1.63934426229508,-1,61,"61_53",-1
"chr_sim",2,280236,280296,"-",1.63934426229508,-1,61,"61_53",-1
"chr_sim",2,280297,280357,"-",1.63934426229508,4.9e-10,61,"61_53",-1
"chr_sim",2,280358,280418,"-",3.27868852459016,2e-09,61,"61_53",-1
"chr_sim",2,280419,280479,"-",1.63934426229508,6.4e-10,61,"61_53",-1
"chr_sim",2,280480,280540,"-",1.63934426229508,2.6e-10,61,"61_53",-1
"chr_sim",2,280541,280601,"-",1.63934426229508,1.7e-09,61,"61_53",-1
"chr_sim",2,280602,280662,"-",3.27868852459016,1.1e-09,61,"61_53",-1
"chr_sim",2,280663,280723,"-",3.27868852459016,3.9e-10,61,"61_53",-1
"chr_sim",2,280724,280784,"-",1.63934426229508,-1,61,"61_53",-1
"chr_sim",2,280785,280845,"-",3.27868852459016,-1,61,"61_53",-1
"chr_sim",2,280846,280906,"-",3.27868852459016,3.6e-10,61,"61_53",-1
"chr_sim",2,280907,280964,"-",8.19672131147541,-1,58,"61_53",-1
"chr_sim",3,420221,420238,"-",73.7704918032787,-1,18,"61_51",-1
"chr_sim",3,420239,420299,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,420300,420360,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,420361,420421,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,420422,420482,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,420483,420543,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,420544,420604,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,420605,420665,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,420666,420726,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,420727,420787,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,420788,420848,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,420849,420909,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,420910,420970,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,420971,421031,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,421032,421092,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,421093,421153,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,421154,421214,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,421215,421275,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,421276,421336,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,421337,421397,"-",0,1.3e-11,61,"61_51",-1
"chr_sim",3,421398,421446,"-",21.3114754098361,-1,49,"61_51",-1
"chr_sim",4,560704,560744,"-",57.3770491803279,-1,41,"61_54",-1
"chr_sim",4,560745,560805,"-",3.27868852459016,1.1e-11,61,"61_54",-1
"chr_sim",4,560806,560866,"-",1.63934426229508,3.1e-12,61,"61_54",-1
"chr_sim",4,560867,560927,"-",1.63934426229508,3.1e-12,61,"61_54",-1
"chr_sim",4,560928,560988,"-",3.27868852459016,9.3e-12,61,"61_54",-1
"chr_sim",4,560989,561049,"-",1.63934426229508,1.8e-12,61,"61_54",-1
"chr_sim",4,561050,561110,"-",0,5.1e-13,61,"61_54",-1
"chr_sim",4,561111,561171,"-",3.27868852459016,3.4e-12,61,"61_54",-1
"chr_sim",4,561172,561232,"-",1.63934426229508,1.9e-12,61,"61_54",-1
"chr_sim",4,561233,561293,"-",1.63934426229508,2.8e-12,61,"61_54",-1
"chr_sim",4,561294,561354,"-",0,5.1e-13,61,"61_54",-1
